('KEY_KPRIGHTPAREN', 180L)
('KEY_NEW', 181L)
('KEY_REDO', 182L)
('KEY_F13', 183L)
('KEY_F14', 184L)
('KEY_F15', 185L)
('KEY_F16', 186L)
('KEY_F17', 187L)
('KEY_F18', 188L)
('KEY_F19', 189L)
('KEY_F20', 190L)
('KEY_F21', 191L)
('KEY_F22', 192L)
('KEY_F23', 193L)
('KEY_F24', 194L)
('KEY_PLAYCD', 200L)
('KEY_PAUSECD', 201L)
('KEY_PROG3', 202L)
('KEY_PROG4', 203L)
('KEY_DASHBOARD', 204L)
('KEY_SUSPEND', 205L)
('KEY_CLOSE', 206L)
('KEY_PLAY', 207L)
('KEY_FASTFORWARD', 208L)
('KEY_BASSBOOST', 209L)
('KEY_PRINT', 210L)
('KEY_HP', 211L)
('KEY_CAMERA', 212L)
('KEY_SOUND', 213L)
('KEY_QUESTION', 214L)
('KEY_EMAIL', 215L)
('KEY_CHAT', 216L)
('KEY_SEARCH', 217L)
('KEY_CONNECT', 218L)
('KEY_FINANCE', 219L)
('KEY_SPORT', 220L)
('KEY_SHOP', 221L)
('KEY_ALTERASE', 222L)
('KEY_CANCEL', 223L)
('KEY_BRIGHTNESSDOWN', 224L)
('KEY_BRIGHTNESSUP', 225L)
('KEY_MEDIA', 226L)
('KEY_SWITCHVIDEOMODE', 227L)
('KEY_KBDILLUMTOGGLE', 228L)
('KEY_KBDILLUMDOWN', 229L)
('KEY_KBDILLUMUP', 230L)
('KEY_SEND', 231L)
('KEY_REPLY', 232L)
('KEY_FORWARDMAIL', 233L)
('KEY_SAVE', 234L)
('KEY_DOCUMENTS', 235L)
('KEY_BATTERY', 236L)
('KEY_BLUETOOTH', 237L)
('KEY_WLAN', 238L)
('KEY_UWB', 239L)
('KEY_UNKNOWN', 240L)
('KEY_VIDEO_NEXT', 241L)
('KEY_VIDEO_PREV', 242L)
('KEY_BRIGHTNESS_CYCLE', 243L)
(['KEY_BRIGHTNESS_AUTO', 'KEY_BRIGHTNESS_ZERO'], 244L)
('KEY_DISPLAY_OFF', 245L)
(['KEY_WIMAX', 'KEY_WWAN'], 246L)
('KEY_RFKILL', 247L)
('KEY_MICMUTE', 248L)
(['BTN_0', 'BTN_MISC'], 256L)
('BTN_1', 257L)
('BTN_2', 258L)
('BTN_3', 259L)
('BTN_4', 260L)
('BTN_5', 261L)
('BTN_6', 262L)
('BTN_7', 263L)
('BTN_8', 264L)
('BTN_9', 265L)
(['BTN_LEFT', 'BTN_MOUSE'], 272L)
('BTN_RIGHT', 273L)
('BTN_MIDDLE', 274L)
('BTN_SIDE', 275L)
('BTN_EXTRA', 276L)
('BTN_FORWARD', 277L)
('BTN_BACK', 278L)
('BTN_TASK', 279L)
(['BTN_JOYSTICK', 'BTN_TRIGGER'], 288L)
('BTN_THUMB', 289L)
('BTN_THUMB2', 290L)
('BTN_TOP', 291L)
('BTN_TOP2', 292L)
('BTN_PINKIE', 293L)
('BTN_BASE', 294L)
('BTN_BASE2', 295L)
('BTN_BASE3', 296L)
('BTN_BASE4', 297L)
('BTN_BASE5', 298L)
('BTN_BASE6', 299L)
('BTN_DEAD', 303L)
(['BTN_A', 'BTN_GAMEPAD', 'BTN_SOUTH'], 304L)
(['BTN_B', 'BTN_EAST'], 305L)
('BTN_C', 306L)
(['BTN_NORTH', 'BTN_X'], 307L)
(['BTN_WEST', 'BTN_Y'], 308L)
('BTN_Z', 309L)
('BTN_TL', 310L)
('BTN_TR', 311L)
